nombre,marca,categoria,precio,stock,proveedor,descripcion,imagen
3000D AIRFLOW,Corsair,Gabinetes,49900,15,Corsair,Gabinete ATX de entrada con panel frontal orientado al flujo de aire.,../src/imgs/productos/3000d-airflow.webp
Core i3-10100F,Intel,Procesadores,44900,14,Intel,Procesador Intel de 10ª generación con socket LGA1200 para builds económicas con GPU dedicada.,../src/imgs/productos/core-i3-10100f.webp
Core i3-10105F,Intel,Procesadores,47900,12,Intel,"Procesador LGA1200 de entrada para equipos de oficina, estudio y gaming económico con tarjeta gráfica dedicada.",../src/imgs/productos/core-i3-10105f.webp
Core i5-10400F,Intel,Procesadores,62900,14,Intel,Procesador Intel LGA1200 de 6 núcleos y 65 W para gaming y uso general.,../src/imgs/productos/core-i5-10400f.webp
Core i5-10600K,Intel,Procesadores,84900,9,Intel,Procesador Intel LGA1200 desbloqueado para equipos de gama media y gaming.,../src/imgs/productos/core-i5-10600k.webp
Core i7-10700,Intel,Procesadores,109900,8,Intel,"Procesador Intel LGA1200 de 8 núcleos para multitarea, productividad y gaming.",../src/imgs/productos/core-i7-10700.webp
Core i9-10900K,Intel,Procesadores,159900,5,Intel,Procesador Intel LGA1200 de gama alta de la 10ª generación para equipos de alto rendimiento.,../src/imgs/productos/core-i9-10900k.webp
Core i5-11400F,Intel,Procesadores,74900,13,Intel,"Procesador Intel de 11ª generación, socket LGA1200, 6 núcleos y DDR4 para gaming de gama de entrada/media.",../src/imgs/productos/core-i5-11400f.webp
Core i5-11600K,Intel,Procesadores,99900,8,Intel,Procesador Intel LGA1200 desbloqueado de 11ª generación para gaming y productividad.,../src/imgs/productos/core-i5-11600k.webp
Core i7-11700F,Intel,Procesadores,129900,7,Intel,"Procesador Intel LGA1200 de 8 núcleos para gaming, streaming y trabajo multitarea.",../src/imgs/productos/core-i7-11700f.webp
Core i9-11900K,Intel,Procesadores,169900,4,Intel,Procesador Intel LGA1200 de gama alta de 11ª generación para configuraciones exigentes.,../src/imgs/productos/core-i9-11900k.webp
PRIME H510M-E,ASUS,Placas madre,49900,14,ASUS,Motherboard micro-ATX LGA1200 H510 con DDR4 y M.2 para procesadores Intel de 10ª y 11ª generación.,../src/imgs/productos/prime-h510m-e.webp
B560M PRO-VDH WIFI,MSI,Placas madre,69900,12,MSI,"Motherboard micro-ATX LGA1200 B560 con DDR4, M.2 y conectividad Wi-Fi.",../src/imgs/productos/b560m-pro-vdh-wifi.webp
B560M DS3H,Gigabyte,Placas madre,64900,12,Gigabyte,"Motherboard micro-ATX LGA1200 B560 con DDR4, M.2 y soporte para Intel Core de 10ª y 11ª generación.",../src/imgs/productos/b560m-ds3h.webp
TUF GAMING B560-PLUS WIFI,ASUS,Placas madre,89900,8,ASUS,"Motherboard ATX LGA1200 B560 con DDR4, Wi-Fi y enfoque gaming.",../src/imgs/productos/tuf-gaming-b560-plus-wifi.webp
PRIME Z590-P,ASUS,Placas madre,104900,7,ASUS,"Motherboard ATX LGA1200 Z590 con DDR4, múltiples M.2 y opciones de expansión para equipos de gama media/alta.",../src/imgs/productos/prime-z590-p.webp
MAG Z590 TOMAHAWK WIFI,MSI,Placas madre,129900,6,MSI,"Motherboard ATX LGA1200 Z590 con DDR4, Wi-Fi y diseño orientado a equipos de alto rendimiento.",../src/imgs/productos/mag-z590-tomahawk-wifi.webp
